DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
Grand Total, , ,9,61290,0,80,61210
BLP00-032-AE PWD SUB DIV BERI,Total, ,9,61290,0,80,61210
 ,10-3054-04-105-02-S00N-V-N-02-WAGES,Total,9,61290,0,80,61210
 , ,"[TRVch# 1 Dt:01/11/2017] , Billno-BLP000322017000006",1,5880,0,0,5880
 , ,"[TRVch# 100 Dt:21/09/2017] , Billno-BLP000322017000005",1,6510,0,0,6510
 , ,"[TRVch# 105 Dt:19/07/2017] , Billno-BLP000322017000003",1,6300,0,0,6300
 , ,"[TRVch# 137 Dt:19/06/2017] , Billno-BLP000322017000002",1,6510,0,0,6510
 , ,"[TRVch# 49 Dt:03/06/2017] , Billno-BLP000322017000001",1,10260,0,0,10260
 , ,"[TRVch# 49 Dt:07/12/2017] , Billno-BLP000322017000008",1,6300,0,80,6220
 , ,"[TRVch# 58 Dt:12/01/2018] , Billno-BLP000322017000009",1,6510,0,0,6510
 , ,"[TRVch# 61 Dt:13/11/2017] , Billno-BLP000322017000007",1,6510,0,0,6510
 , ,"[TRVch# 66 Dt:17/08/2017] , Billno-BLP000322017000004",1,6510,0,0,6510
