DDODESC,DM.MAJ.SM.MIN.SMN.BUD.VC.PN.SOE,VoucherBillNO,BILLS,GROSS,AGDED,BTDED,NETPAYMENT
MDI04-007-AE IPH SUB DIV NIHRI,Total, ,15,206160,0,160,206000
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 125 Dt:22/06/2017] , Billno-MDI040072017000002",1,19530,0,0,19530
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 134 Dt:30/12/2017] , Billno-MDI040072017000008",1,12600,0,160,12440
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 150 Dt:31/05/2017] , Billno-MDI040072017000001",1,18900,0,0,18900
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 155 Dt:29/09/2017] , Billno-MDI040072017000005",1,19530,0,0,19530
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 167 Dt:31/08/2017] , Billno-MDI040072017000004",1,19530,0,0,19530
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 178 Dt:31/08/2018] , Billno-MDI040072018000003",1,6975,0,0,6975
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 189 Dt:31/07/2018] , Billno-MDI040072018000002",1,6750,0,0,6750
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 230 Dt:31/07/2017] , Billno-MDI040072017000003",1,18900,0,0,18900
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 28 Dt:07/02/2018] , Billno-MDI040072017000010",1,11130,0,0,11130
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 34 Dt:08/11/2017] , Billno-MDI040072017000007",1,14280,0,0,14280
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 381 Dt:31/03/2018] , Billno-MDI040072017000012",1,6510,0,0,6510
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 41 Dt:09/01/2018] , Billno-MDI040072017000009",1,13020,0,0,13020
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 45 Dt:09/10/2017] , Billno-MDI040072017000006",1,18900,0,0,18900
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 49 Dt:08/06/2018] , Billno-MDI040072018000001",1,13725,0,0,13725
MDI04-007-AE IPH SUB DIV NIHRI,13-2215-01-102-13-S00N-V-N-02-WAGES,"[TRVch# 83 Dt:19/03/2018] , Billno-MDI040072017000011",1,5880,0,0,5880
